n	m	jnm_deri
85	4	108.12982
47	15	108.21353
96	2	108.23067
69	8	108.3242
39	18	108.35167
59	11	108.37541
13	29	108.38626
29	22	108.40553
50	14	108.41233
22	25	108.49933
56	12	108.50081
34	20	108.50701
53	13	108.51032
11	30	108.60933
81	5	108.67428
73	7	108.70457
9	31	108.79439
42	17	108.80864
77	6	108.83837
66	9	108.88848
20	26	108.89571
7	32	108.94192
27	23	108.94503
5	33	109.05225
37	19	109.11395
3	34	109.12567
32	21	109.15375
1	35	109.16233
91	3	109.17522
45	16	109.1784
86	4	109.2076
18	27	109.25139
97	2	109.27005
63	10	109.29476
25	24	109.44021
48	15	109.45744
70	8	109.4655
60	11	109.56095
16	28	109.5673
40	18	109.63918
51	14	109.64135
57	12	109.70071
54	13	109.72469
30	22	109.75271
